AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP > 50k
35.0,1.0,16.0,1.0,1555.0,1.0,0.0,40.0,1.0,1,True
18.0,1.0,12.0,5.0,6260.0,1.0,2.0,40.0,1.0,1,False
19.0,1.0,16.0,5.0,4251.0,34.0,2.0,40.0,1.0,1,False
70.0,6.0,16.0,1.0,2600.0,55.0,1.0,25.0,2.0,1,False
54.0,1.0,16.0,1.0,20.0,53.0,1.0,40.0,2.0,1,True
61.0,4.0,22.0,1.0,2320.0,51.0,0.0,43.0,2.0,1,True
30.0,1.0,20.0,5.0,5400.0,1.0,10.0,40.0,2.0,1,False
25.0,1.0,16.0,1.0,7020.0,1.0,1.0,55.0,1.0,1,True
20.0,2.0,19.0,5.0,4600.0,1.0,2.0,15.0,2.0,1,False
31.0,1.0,20.0,5.0,4020.0,1.0,0.0,32.0,2.0,1,False
65.0,1.0,19.0,1.0,440.0,36.0,0.0,50.0,1.0,1,False
58.0,7.0,23.0,2.0,3090.0,19.0,0.0,40.0,2.0,1,False
39.0,6.0,13.0,3.0,9130.0,25.0,13.0,50.0,1.0,2,False
57.0,1.0,16.0,5.0,4720.0,34.0,0.0,36.0,2.0,1,True
35.0,1.0,1.0,1.0,4020.0,303.0,1.0,80.0,1.0,1,False
32.0,4.0,22.0,1.0,2310.0,1.0,0.0,60.0,2.0,1,False
60.0,1.0,20.0,1.0,3255.0,36.0,1.0,40.0,2.0,1,False
52.0,6.0,18.0,1.0,4220.0,13.0,0.0,40.0,1.0,1,False
43.0,1.0,18.0,1.0,3310.0,1.0,1.0,32.0,2.0,1,False
62.0,2.0,22.0,1.0,2751.0,28.0,0.0,50.0,1.0,1,True
38.0,5.0,18.0,1.0,6010.0,35.0,0.0,44.0,1.0,1,True
66.0,1.0,20.0,1.0,7340.0,12.0,1.0,50.0,1.0,1,True
17.0,1.0,18.0,5.0,4760.0,1.0,2.0,20.0,1.0,1,False
55.0,5.0,16.0,1.0,5550.0,1.0,0.0,42.0,1.0,1,True
39.0,1.0,21.0,1.0,2360.0,1.0,0.0,40.0,1.0,1,True
45.0,1.0,19.0,1.0,440.0,48.0,0.0,52.0,1.0,1,True
50.0,1.0,16.0,1.0,8940.0,1.0,0.0,42.0,1.0,1,True
29.0,2.0,19.0,5.0,3602.0,1.0,0.0,40.0,2.0,2,False
35.0,2.0,22.0,1.0,2040.0,1.0,0.0,40.0,1.0,1,False
57.0,7.0,19.0,4.0,4920.0,12.0,6.0,25.0,2.0,9,False
61.0,7.0,24.0,1.0,3000.0,13.0,0.0,32.0,1.0,1,True
56.0,1.0,18.0,1.0,5000.0,37.0,1.0,40.0,2.0,1,True
31.0,3.0,13.0,1.0,6305.0,28.0,0.0,40.0,1.0,1,False
43.0,1.0,18.0,5.0,7315.0,1.0,13.0,40.0,1.0,1,False
53.0,1.0,22.0,1.0,1200.0,47.0,0.0,42.0,2.0,1,True
20.0,1.0,18.0,5.0,4720.0,1.0,17.0,28.0,1.0,2,False
29.0,1.0,19.0,4.0,3423.0,1.0,0.0,40.0,2.0,1,False
29.0,1.0,22.0,1.0,800.0,1.0,0.0,40.0,2.0,1,True
35.0,1.0,16.0,1.0,7200.0,1.0,1.0,50.0,1.0,1,False
31.0,1.0,17.0,3.0,7700.0,1.0,0.0,60.0,1.0,1,True
61.0,5.0,19.0,1.0,5550.0,1.0,0.0,45.0,1.0,1,True
39.0,1.0,16.0,5.0,4700.0,1.0,0.0,40.0,2.0,2,False
64.0,1.0,16.0,3.0,5740.0,1.0,2.0,45.0,2.0,1,False
24.0,1.0,16.0,1.0,6515.0,303.0,0.0,40.0,1.0,8,False
42.0,1.0,16.0,1.0,9620.0,13.0,0.0,40.0,2.0,1,False
23.0,3.0,16.0,1.0,3870.0,1.0,1.0,42.0,1.0,1,False
21.0,1.0,16.0,5.0,8950.0,1.0,2.0,20.0,1.0,2,False
55.0,4.0,20.0,3.0,5740.0,1.0,2.0,40.0,2.0,1,False
41.0,1.0,18.0,1.0,9510.0,1.0,1.0,40.0,1.0,2,True
49.0,1.0,21.0,1.0,845.0,13.0,1.0,48.0,1.0,1,True
19.0,1.0,16.0,5.0,4251.0,1.0,5.0,32.0,1.0,1,False
52.0,3.0,16.0,1.0,4220.0,11.0,0.0,40.0,1.0,1,True
40.0,1.0,20.0,1.0,4465.0,1.0,0.0,52.0,1.0,1,True
42.0,1.0,13.0,1.0,7700.0,1.0,0.0,40.0,1.0,1,False
49.0,1.0,18.0,1.0,5840.0,1.0,1.0,38.0,2.0,1,False
42.0,6.0,18.0,3.0,1032.0,1.0,0.0,40.0,2.0,1,False
50.0,1.0,23.0,3.0,565.0,1.0,0.0,40.0,2.0,1,True
65.0,1.0,21.0,3.0,3603.0,1.0,0.0,37.0,2.0,2,False
30.0,1.0,17.0,4.0,5240.0,47.0,0.0,40.0,2.0,1,False
46.0,1.0,18.0,1.0,9645.0,13.0,1.0,25.0,1.0,1,False
35.0,1.0,17.0,3.0,4720.0,1.0,0.0,15.0,1.0,1,False
49.0,1.0,16.0,1.0,7350.0,1.0,0.0,40.0,1.0,1,True
40.0,1.0,18.0,1.0,710.0,13.0,0.0,50.0,1.0,1,True
37.0,3.0,16.0,1.0,6200.0,12.0,0.0,50.0,1.0,1,True
22.0,4.0,19.0,5.0,4640.0,13.0,17.0,25.0,1.0,2,False
38.0,1.0,19.0,5.0,4020.0,1.0,0.0,25.0,1.0,1,False
42.0,4.0,16.0,1.0,3700.0,48.0,1.0,50.0,1.0,1,False
48.0,1.0,20.0,1.0,5240.0,1.0,0.0,40.0,2.0,1,False
61.0,1.0,16.0,3.0,9130.0,1.0,0.0,40.0,1.0,1,False
52.0,1.0,21.0,1.0,4760.0,1.0,0.0,40.0,1.0,1,True
28.0,1.0,19.0,5.0,9130.0,28.0,0.0,32.0,1.0,1,False
25.0,1.0,16.0,5.0,9620.0,1.0,2.0,36.0,1.0,2,False
42.0,2.0,21.0,1.0,4340.0,1.0,2.0,40.0,2.0,1,False
62.0,1.0,21.0,1.0,440.0,13.0,0.0,60.0,1.0,1,True
64.0,7.0,21.0,1.0,440.0,29.0,0.0,40.0,1.0,1,True
37.0,3.0,21.0,1.0,2015.0,47.0,0.0,40.0,2.0,1,False
80.0,7.0,8.0,1.0,4240.0,13.0,0.0,35.0,1.0,1,False
47.0,1.0,16.0,1.0,6305.0,1.0,1.0,40.0,1.0,1,False
69.0,1.0,12.0,3.0,3603.0,1.0,0.0,35.0,2.0,1,False
35.0,5.0,16.0,5.0,5550.0,1.0,2.0,40.0,1.0,1,False
47.0,5.0,21.0,3.0,5000.0,18.0,0.0,40.0,1.0,1,True
21.0,3.0,19.0,1.0,2310.0,1.0,0.0,16.0,2.0,1,False
46.0,4.0,22.0,1.0,2435.0,1.0,0.0,40.0,2.0,1,True
52.0,1.0,20.0,1.0,7640.0,39.0,0.0,40.0,2.0,1,True
45.0,1.0,15.0,5.0,8810.0,1.0,0.0,40.0,2.0,2,False
32.0,1.0,16.0,5.0,9600.0,1.0,2.0,40.0,1.0,1,False
50.0,1.0,14.0,5.0,4020.0,9.0,0.0,35.0,2.0,2,False
27.0,1.0,16.0,5.0,4510.0,17.0,0.0,40.0,2.0,1,True
55.0,1.0,18.0,1.0,440.0,1.0,1.0,50.0,1.0,1,False
61.0,1.0,18.0,1.0,565.0,1.0,1.0,40.0,2.0,1,True
45.0,3.0,19.0,5.0,5610.0,1.0,0.0,40.0,2.0,2,False
63.0,6.0,12.0,3.0,6200.0,53.0,15.0,20.0,1.0,1,False
62.0,3.0,21.0,5.0,2310.0,36.0,0.0,20.0,1.0,1,False
59.0,7.0,16.0,1.0,6260.0,13.0,1.0,50.0,1.0,1,False
43.0,6.0,21.0,5.0,750.0,18.0,2.0,50.0,1.0,1,False
55.0,1.0,16.0,1.0,8800.0,110.0,1.0,40.0,1.0,1,False
49.0,1.0,16.0,1.0,8250.0,1.0,0.0,40.0,2.0,1,False
67.0,1.0,17.0,1.0,5610.0,12.0,1.0,40.0,2.0,1,False
75.0,1.0,16.0,2.0,5860.0,1.0,0.0,40.0,2.0,1,True
18.0,1.0,16.0,5.0,9620.0,28.0,2.0,45.0,1.0,1,False
54.0,1.0,19.0,5.0,7750.0,1.0,2.0,40.0,2.0,2,False
44.0,1.0,21.0,3.0,20.0,1.0,13.0,40.0,2.0,1,False
43.0,1.0,23.0,1.0,2100.0,1.0,0.0,70.0,1.0,1,True
61.0,1.0,21.0,1.0,6835.0,42.0,0.0,60.0,1.0,1,True
26.0,2.0,19.0,1.0,2350.0,51.0,1.0,20.0,2.0,1,False
50.0,1.0,22.0,1.0,800.0,6.0,0.0,40.0,2.0,1,False
28.0,3.0,22.0,5.0,2435.0,19.0,0.0,40.0,1.0,1,False
49.0,1.0,20.0,1.0,3300.0,12.0,1.0,40.0,2.0,1,False
37.0,4.0,22.0,1.0,440.0,1.0,0.0,40.0,2.0,2,False
52.0,1.0,19.0,1.0,7700.0,1.0,0.0,48.0,1.0,1,False
34.0,1.0,19.0,5.0,4760.0,1.0,0.0,52.0,2.0,1,False
32.0,1.0,19.0,5.0,1920.0,1.0,5.0,40.0,1.0,1,False
28.0,1.0,16.0,1.0,4622.0,21.0,1.0,40.0,2.0,1,False
44.0,4.0,22.0,3.0,2002.0,1.0,0.0,40.0,2.0,1,True
44.0,1.0,20.0,1.0,4700.0,1.0,1.0,35.0,2.0,1,False
52.0,4.0,18.0,5.0,4220.0,1.0,5.0,40.0,1.0,2,False
18.0,1.0,18.0,5.0,4435.0,1.0,17.0,40.0,1.0,1,False
22.0,1.0,7.0,5.0,4700.0,1.0,2.0,35.0,2.0,1,False
47.0,3.0,16.0,1.0,5400.0,1.0,1.0,40.0,2.0,2,False
47.0,1.0,21.0,1.0,800.0,1.0,0.0,40.0,2.0,2,True
38.0,1.0,16.0,5.0,6230.0,1.0,0.0,40.0,1.0,1,True
36.0,1.0,16.0,5.0,7800.0,1.0,0.0,30.0,2.0,1,False
21.0,1.0,20.0,5.0,9645.0,1.0,2.0,25.0,1.0,9,False
61.0,1.0,16.0,3.0,440.0,1.0,0.0,40.0,1.0,1,False
35.0,1.0,16.0,5.0,8225.0,17.0,0.0,60.0,2.0,2,False
58.0,2.0,17.0,1.0,2040.0,1.0,1.0,20.0,1.0,1,False
65.0,1.0,16.0,1.0,9130.0,1.0,0.0,48.0,1.0,1,True
20.0,3.0,19.0,5.0,4435.0,110.0,17.0,40.0,1.0,2,False
25.0,1.0,20.0,1.0,3255.0,1.0,1.0,20.0,2.0,1,False
23.0,1.0,16.0,5.0,7750.0,1.0,12.0,40.0,1.0,1,False
19.0,1.0,18.0,5.0,5240.0,1.0,2.0,37.0,1.0,1,False
42.0,1.0,16.0,1.0,310.0,1.0,0.0,55.0,1.0,1,False
58.0,1.0,16.0,1.0,7200.0,1.0,0.0,40.0,1.0,1,False
78.0,1.0,16.0,1.0,4920.0,29.0,1.0,20.0,2.0,1,False
25.0,3.0,21.0,1.0,2014.0,1.0,1.0,40.0,2.0,2,False
55.0,3.0,18.0,1.0,9122.0,37.0,0.0,15.0,2.0,1,False
56.0,1.0,21.0,1.0,4820.0,6.0,0.0,40.0,1.0,1,True
19.0,1.0,16.0,5.0,4055.0,13.0,2.0,30.0,2.0,1,False
23.0,1.0,18.0,5.0,8630.0,24.0,2.0,50.0,1.0,1,False
61.0,1.0,17.0,1.0,9620.0,47.0,0.0,40.0,1.0,1,False
34.0,3.0,19.0,1.0,4020.0,1.0,1.0,36.0,2.0,1,False
35.0,1.0,20.0,1.0,5240.0,231.0,1.0,40.0,2.0,6,False
62.0,6.0,19.0,3.0,4760.0,39.0,0.0,32.0,1.0,2,False
55.0,1.0,16.0,5.0,7700.0,55.0,0.0,46.0,1.0,1,True
62.0,7.0,24.0,1.0,440.0,34.0,0.0,40.0,1.0,1,True
56.0,1.0,16.0,3.0,7750.0,1.0,0.0,40.0,2.0,2,True
30.0,1.0,9.0,1.0,4220.0,303.0,0.0,40.0,2.0,8,False
25.0,1.0,16.0,5.0,4230.0,1.0,0.0,20.0,2.0,1,False
65.0,6.0,13.0,5.0,440.0,1.0,0.0,40.0,1.0,1,False
60.0,4.0,21.0,1.0,310.0,13.0,1.0,40.0,2.0,2,False
45.0,1.0,21.0,1.0,5740.0,1.0,0.0,40.0,2.0,1,False
31.0,1.0,1.0,5.0,4720.0,28.0,13.0,50.0,1.0,1,False
73.0,3.0,24.0,1.0,2850.0,36.0,0.0,2.0,1.0,1,True
19.0,1.0,19.0,5.0,7210.0,1.0,2.0,32.0,1.0,1,False
38.0,1.0,16.0,5.0,4700.0,1.0,13.0,50.0,2.0,2,True
27.0,1.0,19.0,5.0,310.0,1.0,0.0,36.0,2.0,2,False
21.0,1.0,19.0,5.0,4110.0,1.0,12.0,20.0,2.0,1,False
23.0,1.0,21.0,1.0,2350.0,41.0,2.0,13.0,2.0,1,False
54.0,1.0,19.0,5.0,2710.0,37.0,0.0,75.0,1.0,1,False
39.0,1.0,20.0,1.0,9645.0,13.0,1.0,5.0,2.0,1,False
70.0,1.0,13.0,1.0,1460.0,18.0,0.0,40.0,1.0,1,True
42.0,1.0,20.0,3.0,3310.0,18.0,0.0,38.0,2.0,1,False
39.0,1.0,24.0,1.0,3050.0,1.0,0.0,38.0,1.0,1,True
20.0,1.0,19.0,5.0,4720.0,1.0,17.0,30.0,1.0,2,False
18.0,1.0,18.0,5.0,2545.0,1.0,17.0,11.0,2.0,2,False
49.0,1.0,24.0,1.0,3090.0,47.0,0.0,60.0,1.0,1,True
70.0,4.0,24.0,1.0,2205.0,1.0,0.0,40.0,1.0,1,True
27.0,1.0,17.0,5.0,9130.0,1.0,0.0,40.0,1.0,1,False
48.0,4.0,23.0,1.0,2310.0,1.0,0.0,50.0,2.0,1,False
47.0,6.0,19.0,1.0,5740.0,1.0,1.0,40.0,2.0,1,False
40.0,1.0,16.0,5.0,9620.0,1.0,15.0,35.0,2.0,1,False
45.0,1.0,16.0,5.0,3603.0,1.0,0.0,38.0,2.0,2,False
50.0,1.0,21.0,1.0,6355.0,10.0,0.0,48.0,1.0,1,True
61.0,1.0,19.0,1.0,1108.0,1.0,0.0,40.0,1.0,1,True
20.0,1.0,19.0,5.0,5730.0,1.0,13.0,36.0,2.0,1,False
21.0,1.0,16.0,5.0,7750.0,1.0,2.0,40.0,2.0,1,False
30.0,1.0,21.0,5.0,750.0,47.0,0.0,40.0,2.0,1,False
32.0,2.0,16.0,5.0,4230.0,1.0,0.0,40.0,2.0,2,False
31.0,3.0,19.0,1.0,3870.0,29.0,1.0,50.0,1.0,1,False
33.0,1.0,21.0,1.0,4850.0,40.0,0.0,50.0,1.0,1,True
58.0,1.0,22.0,1.0,1530.0,1.0,1.0,40.0,1.0,1,True
60.0,6.0,20.0,1.0,1530.0,1.0,0.0,60.0,1.0,1,True
30.0,3.0,16.0,5.0,230.0,1.0,0.0,40.0,2.0,1,False
20.0,1.0,19.0,5.0,4030.0,1.0,17.0,8.0,1.0,9,False
50.0,1.0,21.0,1.0,310.0,13.0,0.0,60.0,1.0,2,True
59.0,1.0,16.0,1.0,7905.0,18.0,0.0,50.0,1.0,1,False
29.0,2.0,24.0,1.0,3160.0,1.0,0.0,50.0,2.0,1,True
63.0,4.0,22.0,1.0,5860.0,1.0,1.0,35.0,2.0,1,True
36.0,1.0,16.0,3.0,7750.0,1.0,0.0,40.0,1.0,1,True
63.0,1.0,16.0,1.0,220.0,13.0,1.0,40.0,1.0,1,False
39.0,6.0,17.0,1.0,4350.0,1.0,0.0,30.0,2.0,1,True
58.0,1.0,20.0,1.0,5120.0,12.0,0.0,45.0,2.0,1,False
56.0,1.0,19.0,1.0,5510.0,18.0,9.0,50.0,1.0,1,False
49.0,1.0,20.0,1.0,2545.0,47.0,0.0,35.0,2.0,1,False
58.0,1.0,20.0,3.0,3255.0,42.0,0.0,40.0,2.0,1,False
65.0,2.0,21.0,1.0,2014.0,28.0,1.0,40.0,2.0,1,True
18.0,1.0,18.0,5.0,4720.0,18.0,17.0,40.0,2.0,1,False
54.0,1.0,22.0,2.0,1022.0,1.0,13.0,45.0,1.0,1,True
69.0,7.0,16.0,1.0,10.0,1.0,0.0,25.0,1.0,1,True
26.0,2.0,22.0,5.0,3150.0,28.0,0.0,30.0,1.0,1,False
38.0,1.0,15.0,1.0,310.0,1.0,1.0,45.0,1.0,1,False
49.0,2.0,18.0,1.0,3300.0,1.0,0.0,40.0,2.0,1,False
27.0,1.0,19.0,5.0,4230.0,55.0,0.0,40.0,1.0,2,False
36.0,1.0,16.0,1.0,6230.0,6.0,0.0,40.0,1.0,8,False
35.0,1.0,21.0,4.0,1106.0,13.0,13.0,40.0,1.0,1,False
63.0,6.0,18.0,1.0,1430.0,1.0,1.0,45.0,1.0,1,True
44.0,1.0,21.0,1.0,705.0,1.0,1.0,50.0,2.0,1,True
47.0,6.0,16.0,5.0,6260.0,1.0,0.0,50.0,1.0,2,False
46.0,1.0,12.0,5.0,4110.0,1.0,2.0,40.0,2.0,1,False
42.0,1.0,21.0,1.0,1430.0,36.0,0.0,45.0,1.0,1,True
26.0,1.0,16.0,5.0,4110.0,1.0,13.0,40.0,2.0,2,False
42.0,1.0,16.0,1.0,9130.0,6.0,0.0,70.0,1.0,1,False
19.0,1.0,19.0,5.0,4720.0,1.0,2.0,20.0,2.0,1,False
41.0,1.0,20.0,1.0,3255.0,28.0,0.0,40.0,2.0,1,True
40.0,1.0,20.0,1.0,3255.0,1.0,0.0,40.0,2.0,2,False
28.0,4.0,22.0,1.0,2205.0,36.0,0.0,70.0,1.0,1,True
30.0,1.0,19.0,1.0,3323.0,28.0,0.0,32.0,2.0,1,False
33.0,1.0,19.0,3.0,5240.0,1.0,0.0,40.0,2.0,2,False
38.0,1.0,20.0,3.0,3610.0,26.0,0.0,40.0,2.0,1,True
24.0,1.0,20.0,1.0,7340.0,1.0,2.0,40.0,1.0,1,False
45.0,1.0,22.0,3.0,1006.0,47.0,0.0,40.0,2.0,2,True
18.0,3.0,16.0,5.0,3960.0,48.0,4.0,13.0,2.0,1,False
35.0,1.0,20.0,1.0,4510.0,13.0,0.0,35.0,2.0,1,False
